"Milk" "Fat" "Protein" "Fat_Percent" "Pro_Percent" "AFC" "DFB_PTA" "Net_Merit" "Prod_Life" "SCS" "Dtr_Preg_Rate" "Heifer_Conc_Rate" "Cow_Conc_Rate" "Sire_Calv_Ease" "Dtr_Calv_Ease" "Sire_Still_Birth" "Dtr_Still_Birth" "Final_score" "Stature" "Strength" "Dairy_form" "Foot_angle" "Rear_legs.side." "Body_depth" "Rump_angle" "Rump_width" "Fore_udder_att" "Rear_ud_height" "Udder_depth" "Udder_cleft" "Front_teat_pla" "Teat_length" "Rear_legs.rear." "Feet_and_legs" "Rear_teat_pla"
"Sire_Still_Birth" 0.00600940232744503 -0.0023947478747726 -0.00818912828447423 -0.00628283529899345 -0.0200183251575938 0.0309581970810712 0.0979058873881462 -0.100136839305399 -0.109135774606528 0.0286215981948072 -0.14006681366598 -0.0211759546977937 -0.161021138373777 0.428138755404846 0.0673992623324444 1 0.125285620622824 0.00908489483312942 0.0432968730736247 0.079827027712858 0.00373335690318511 0.0477487256056542 0.00612403138846233 0.0855752274419904 -0.0482751112753447 0.0766002112932059 0.00856028569077323 0.00432076802445052 -0.00990288290930796 -0.00626308451394136 -0.0132341964481013 0.0359245636630869 -0.00188927709482855 -0.021654144239668 0.00813453802637435
"Dtr_Still_Birth" -0.0615490929634202 -0.0406837323631203 -0.0873180942654227 0.0201790106521676 -0.0173117454146717 0.0708909001380632 0.0976176781138341 -0.163244203280526 -0.1172010294635 0.0203704613555394 -0.108368399419468 -0.0391093682609556 -0.124364261620551 0.121006766885315 0.466385978029599 0.125285620622824 1 -0.0230224751789596 -0.00730446315898759 0.0786986227360339 -0.0141165055459309 -0.00324133866824298 -0.0157051430414126 0.0886494527221318 -0.0229190162185531 0.00191549040837038 -0.00285409676512122 -0.044226688333844 -0.0132017218521065 -0.027832294316364 -0.0319943799626531 0.0188951278699449 -0.00801922366487919 -0.0321878684888826 -0.035587896848174
"Final_score" 0.148290227368604 0.150740789389474 0.177868373253817 -0.00361890337445667 -0.00180397105464842 -0.0472122568792087 0.0717370316972186 0.237603581502912 0.107118361292654 -0.0398444388264104 -0.0771684959795819 -0.0123338341948838 -0.0432445958650731 0.0649089914942277 0.00697197826390492 0.00908489483312942 -0.0230224751789596 1 0.525866899734853 0.41476618453555 0.462330937534757 0.498126261321693 -0.0774577005689263 0.478687344343769 -0.0801615285119944 0.480957885704377 0.684759234137936 0.702312740256864 0.440681083851444 0.543269567593535 0.46066367996884 -0.0324574134368289 0.487909883829153 0.570964822795584 0.36231195987477
"Stature" 0.077283703693077 0.0571157036781428 0.0881826657453702 -0.0182582829682352 -0.00729162277418148 -0.069288051695339 0.0664221358386196 -0.059965773105084 -0.204024020666686 0.0620794426507994 -0.0826962916067026 -0.0242324153642743 -0.0681817049689323 0.165628433713217 0.0258803680703216 0.0432968730736247 -0.00730446315898759 0.525866899734853 1 0.602008110711159 0.363241129167204 0.343509428686605 -0.0293509068467085 0.638364963228262 0.145041444031193 0.55357041875801 0.236806057207321 0.222178933508407 0.287074649432546 0.227643855142231 0.140593418752341 0.146542716548424 0.18788881357244 0.226041302822992 0.131129584946297
"Strength" 0.00695035061717657 0.0265134870440775 0.0243639771539883 0.0181490103331062 0.0250274239228048 -0.0538232112487478 0.0691172880535538 -0.116985319693809 -0.20724972962271 0.0283793039065521 -0.0887715960370198 -0.04015721273912 -0.125594676195784 0.181639264756055 0.0846441558625239 0.079827027712858 0.0786986227360339 0.41476618453555 0.602008110711159 1 0.0327484014927166 0.393333110258311 -0.160769059633077 0.850519354136338 -0.0343542504685535 0.564484027216206 0.210143367776479 0.0996841460318198 0.0449204668111049 0.109847063653788 0.0787300289379847 0.198198493606488 0.300329440113045 0.226727146448103 0.0435253231008556
"Dairy_form" 0.333695758525753 0.267452112764788 0.339342632286077 -0.06107311952046 -0.0909143682031294 -0.031290053516828 0.226815740995227 0.11310525866792 -0.166686976234686 0.163758649538567 -0.266319188450456 -0.0506557639884035 -0.181275528795401 0.0664398219465854 0.0348406280531407 0.00373335690318511 -0.0141165055459309 0.462330937534757 0.363241129167204 0.0327484014927166 1 -0.00829959871183037 0.271932863361333 0.406776437242851 -0.0126252294062799 0.287508181000585 0.0152625210402154 0.328845398183407 -0.189471529784008 0.282126160049231 0.197843355949649 0.0252609492243583 0.0746927705254144 0.146548716439611 0.212807812189916
"Foot_angle" 0.0298660502865826 0.0225689753631248 0.0484447004147622 -0.0076763732204104 0.0172471845715723 -0.0183871295080643 -0.00136929550710423 0.113577041614073 0.08441178428141 -0.0413773248022191 -0.011519679259707 -0.0111031950996758 -0.0204868310074259 0.0832904468200716 0.00355939140563474 0.0477487256056542 -0.00324133866824298 0.498126261321693 0.343509428686605 0.393333110258311 -0.00829959871183037 1 -0.518726374002292 0.295200031474416 -0.0802577177533758 0.270047235088912 0.348196109264448 0.284369507845856 0.265112745080516 0.200017800741374 0.142179812750461 0.0381662485251931 0.644756931281822 0.753823319207029 0.103251658936139
"Rear_legs(side)" 0.0343784963645551 0.0551299119140016 0.0429476215508055 0.0174553319673193 -0.00248480024129217 -0.0058067719056372 0.047384989232943 -0.0441767865535906 -0.112217530849631 0.0590869588879262 -0.0617212847250534 -0.00864632713161635 -0.0361076563755999 0.00943003879202832 0.00175812555317777 0.00612403138846233 -0.0157051430414126 -0.0774577005689263 -0.0293509068467085 -0.160769059633077 0.271932863361333 -0.518726374002292 1 0.00218958925539962 -0.112974595539275 0.0433292211963967 -0.0674155669357403 -0.0577171126011117 -0.0668446330005311 0.0551722860035712 0.0659233923794546 -0.0346203682052497 -0.411195877326915 -0.398267967649825 0.0847083603083373
"Body_depth" 0.100167178033107 0.129712954301856 0.11489261505086 0.0262000061400313 -0.00837138347070093 -0.0420835230755719 0.167490843342254 -0.0993557460601328 -0.284557338413343 0.0925610898316669 -0.202151204130922 -0.0574850416625499 -0.204191558429694 0.203151327319883 0.107135956557627 0.0855752274419904 0.0886494527221318 0.478687344343769 0.638364963228262 0.850519354136338 0.406776437242851 0.295200031474416 0.00218958925539962 1 -0.0425888222455237 0.573996362924212 0.128850867339349 0.143881414754578 -0.0792070960475185 0.183456718942208 0.12886939948339 0.193766328131155 0.238139085624576 0.215989591929979 0.120632703548087
"Rump_angle" 0.0384572026281445 -0.0120635071296562 0.0304777123641787 -0.0410974250330718 -0.0231569761238148 -0.0205271876844948 -0.0311476854700902 -0.00188692462144635 0.0174718901438044 0.0118082577816538 0.0580487269794145 -0.000204819031972163 0.0785390292599674 -0.0157179242768947 -0.0516746020365485 -0.0482751112753447 -0.0229190162185531 -0.0801615285119944 0.145041444031193 -0.0343542504685535 -0.0126252294062799 -0.0802577177533758 -0.112974595539275 -0.0425888222455237 1 -0.0570446255375761 -0.147338059617491 -0.0629251255105061 -0.0405397015818215 -0.0907315375375923 -0.0588442730825568 -0.0232442171995089 -0.113315756218044 -0.0821132179590732 -0.0530318185322619
